profile,alpha,table_bonus,n,hit_rate_at_5,mrr_at_5
quantitative,1.0,0.08,60,0.5,0.3683333333333333
quantitative,1.0,0.1,60,0.5,0.3683333333333333
quantitative,1.0,0.15,60,0.5,0.3669444444444444
quantitative,1.0,0.2,60,0.48333333333333334,0.36638888888888893
semantic,0.1,0.0,51,0.27450980392156865,0.25
semantic,0.2,0.0,51,0.29411764705882354,0.2565359477124183
semantic,0.3,0.0,51,0.29411764705882354,0.25980392156862747
semantic,0.4,0.0,51,0.29411764705882354,0.25980392156862747
semantic,0.5,0.0,51,0.29411764705882354,0.2418300653594771
semantic,0.6,0.0,51,0.29411764705882354,0.21241830065359474
semantic,0.7,0.0,51,0.29411764705882354,0.19934640522875816
semantic,0.8,0.0,51,0.29411764705882354,0.18856209150326797
semantic,0.9,0.0,51,0.2549019607843137,0.18137254901960784
semantic,1.0,0.0,51,0.2549019607843137,0.1781045751633987
